,name,founded_date,employee_count,description,location,categories,funding_data,investor_data
0,Aujas Networks,2008,11 - 50,"Aujas Networks Pvt. Ltd. offers information technology digital security solutions and services for enabling digital defense to clients. The company offers services in the areas of security vulnerability, security content management, and identity and access management. Its consulting services include preventive consulting, such as strategy consulting, enterprise risk, management, technology, consulting, and DR/BCP consulting; reactive consulting, including security postures, security audit, and recovery strategy; and detective consulting, such as incident response solutions. The companyâ€™s preventive implementation solutions comprise SCM/SAMIIAM, secure products, and compliance solutions. Its detective implementation solutions include application code review solutions. The companyâ€™s management solutions comprise preventive management, including enterprise risk, ODC security, and security operations; recovery services; and forensics services. It also offers education services, such as process, implementation, management, standards, technology, and application security services. The company provides specialized security services to technologies, including core wireless networks, VOIP, RFID, cyber forensics, and the risk management. It serves telecom, banking, financial services, insurance, enterprise, and government sectors. 
The company was founded in 2008 and is based in Bangalore, India.
","Bangalore, Karnataka","Security, Cloud Security, Information Technology","[['Nov, 2013', '$5.4M / Series B', '—', 'IvyCap Ventures', '3'], ['Mar, 2011', '$2.6M / Series A', '—', '—', '1'], ['Jan, 2008', '$3M / Series A', '—', '—', '1']]","[['IDG Ventures India', 'Series A', 'TC Meenakshisundaram', 'Series A', 'TC Meenakshisundaram', 'Series B', 'TC Meenakshisundaram'], ['IvyCap Ventures', 'Series B\xa0(Lead)', 'Vikram GuptaNorbert Fernandes'], ['Rajasthan Venture Capital Fund', 'Series B', 'Girish Gupta']]"
0,CanvasFilp,"August 1, 2014",11 - 50,"CanvasFlip is fastest growing prototyping suite to create and validate your application design prototypes for your mobile and web applications.
An alternative to outdated prototyping solutions like Flinto or Invision; enhanced for creating and validating your design prototypes in minutes.
Here's why most successful Startups & Enterprises like Paytm, MakeMyTrip, MagicBricks, IXIGO and others are switching to CanvasFlip:
","Bangalore, Karnataka",Software,"[['Sep, 2015', '$1.2M / Seed', '—', '—', '2']]","[['Bessemer Venture Partners', 'Seed', '-'], ['Microsoft Accelerator Bangalore', 'Seed', '-']]"
0,Canvazify,"January 13, 2014",11 - 50,,"Pune, Maharashtra",,,
0,Cloudcherry,"September 5, 2013",11 - 50,"Cloudcherry was founded in 2013 with the coming together of a group of management gurus, business leaders and experts in Mobility, Analytics, Technology and the Cloud. What we do here is simple - we collaborate with brands to help them win, wow and deliver on something that's a little more than Consumer Satisfaction. A something that we call Consumer Delight. 
Because we believe that any brand's success is a result of it's consumer's delight.
","Singapore, Central Region","Cloud Computing, Analytics, Apps, Mobile","[['Sep, 2016', '$6M / Series A', '—', '—', '3'], ['Dec, 2015', 'undisclosed amount / Non Equity Assistance', '—', '—', '1'], ['Jul, 2015', '$1M / Seed', '—', '—', '2']]","[['Chennai Angels', 'Seed', '-'], ['Cisco Investments', 'Series A', '-'], ['IDG Ventures', 'Series A', '-'], ['IDG Ventures India', 'Seed', '-'], ['Microsoft Accelerator Bangalore', 'Non Equity Assistance', '-'], ['Vertex Ventures', 'Series A', '-']]"
0,DronaHQ,"February 7, 2007Aliases:Deltecs Infotech Pvt Ltd",11 - 50,"The gift of knowledge, of learning is a gift greater than any other. For man, wisdom and understanding stem from the knowledge gained from all sources. Pioneering an effort to provide innovative learning and training solution, Deltecs Infotech seeks to transform the way people learn and are trained.
Founded in February 2007 Deltecs Infotech is on a mission provide innovative and practical solutions to meet the challenges of learning and training, imparted through mobile phones.
Deltecsâ€™s latest tool, DRONA, is a mobile learning authoring tool, which transforms learning content into mobile applications to be distributed, tracked and analysed, with minimum effort and time.
DRONA which recently won the Award for the most innovative product in the year 2009 for business and training category basically helps an institute/corporate/university to author, distribute and analyze tests and their results within no time and for far lesser costs. Also, for the employees and students itâ€™s just in time learning and testing which they can refer to anytime. DRONA-BES is a blackberry based plug-in for corporates where the senior management in any corporates can access their training modules and finish their allocated training time even with their hectic schedules without spending dedicated time on their desktops.
Their success has also been highlights in their revenue, which was a modest Rs4 lakh in the first year of operation. This grew to more than Rs20 lakh in the second and is expected to rise significantly this year too.
Their next aim is to introduce a strong system for feedback and analysis, which will make the quality of teaching better.
","Mumbai, Maharashtra",Mobile,,
0,Entersoft,2013,11 - 50,"Entersoft is an award winning application security provider trusted by over 300 global brands. Through their bespoke products and services they help build robust, secure applications.
Their approach is a combination of offensive assessment, proactive monitoring and pragmatic managed-security which provides highly cost effective and reliable solutions to some of the most pressing problems in Application Security.
They work on real problems with real methods, and seek to understand the foundations of those methods. They stay ahead of the curve by working on a variety of cutting edge technologies with rifle focus on quality.
","Singapore, Central Region","Security, SaaS, Apps, Software",,
0,FarEye,2013,11 - 50,"The technology business at RoboticWares Pvt. Ltd. is a combination of such fields which rarely coexists. Our group is researching in Embedded Domains and Robotics, at the same time developing professional Web Apps and Software Solutions. We registered our company in April 2009 and today we operate from our headquarters situated in Bhubaneswar.
Any technology product can be defined as C3 - Circuit, Coding and Creativity. This innovative idea of creation gave birth to RoboticWares. We generate synergy through a coordinated effort of the 3 fragments of RoboticWares: Binover, LabSens and Learnics.
","New Delhi, Delhi","Internet, SaaS, Supply Chain Management, Software, Mobile","[['Dec, 2016', 'undisclosed amount / Non Equity Assistance', '—', '—', '1'], ['Jun, 2016', '$3.5M / Series A', '—', 'SAIF Partners', '1'], ['Sep, 2014', '₹20M / Angel', '—', '—', '3']]","[['Indian Angel Network', 'Angel', '-'], ['Microsoft Accelerator Bangalore', 'Non Equity Assistance', '-'], ['Nitin Jain', 'Angel', '-'], ['Piyush Chawla', 'Angel', '-'], ['SAIF Partners', 'Series A\xa0(Lead)', '-']]"
0,FlytBase,2017,11 - 50,,"Palo Alto, California",Apps,,
0,FT Cash,2014,11 - 50,"FT Cash is a financial technology venture that supports micro-merchants, small businesses, and retail chains through mobile payments. Its aim is to enables instant offline transactions by gathering all payment gateways, including credit cards, debit cards, and mobile wallets under one channel. The company’s staff is comprised of executives such as senior executives from Deutsche Bank, KPMG, and World Bank among others with a pedigree from Wharton Business School, Harvard University, SRCC, IIT Bombay, and more. Founded in 2014, FT Cash is based in Mumbai, Maharashtra. It is funded by IvyCap Ventures and several international angel investors.
","Mumbai, Maharashtra","Apps, FinTech","[['Jun, 2017', 'undisclosed amount / Seed', '—', '500 StartupsIvyCap Ventures', '2'], ['Mar, 2016', '$148.49k / Seed', '—', 'IvyCap Ventures', '1']]","[['500 Startups', 'Seed\xa0(Lead)', '-'], ['IvyCap Ventures', 'Seed\xa0(Lead)', '-', 'Seed\xa0(Lead)', '-']]"
0,Germin8,2007,11 - 50,"Germin8 is focused on building and providing stakeholder analytics tools and services that help its customers make better decisions.
Germin8's main product is called Explic8 and is used by companies to understand what their stakeholders are saying about them, their products and services and their competitors in public (social media, news sites) and in private (emails, surveys, chats, calls).
Germin8's expertise lies in the areas of unstructured data analytics, natural language processing, distributed computing and business intelligence.
","Mumbai, Maharashtra","Social Media, Analytics, Big Data","[['Dec, 2016', 'undisclosed amount / Non Equity Assistance', '—', '—', '1'], ['Mar, 2014', '$3M / Series A', '—', 'Kalaari Capital', '1'], ['Jan, 2013', '$2.4M / Angel', '—', '—', '0']]","[['Kalaari Capital', 'Series A\xa0(Lead)', '-'], ['Microsoft Accelerator Bangalore', 'Non Equity Assistance', '-']]"
